Tiempo	LacI	TetR	cI
151.025	38.7018	13.4528	1.27137
151.394	41.4405	12.528	1.26214
151.764	44.127	11.666	1.26357
152.134	46.7174	10.8631	1.27643
152.504	49.1655	10.1155	1.30167
152.873	51.4238	9.41968	1.34042
153.243	53.4449	8.77219	1.39402
153.613	55.1839	8.16987	1.46406
153.944	56.4667	7.66702	1.5421
154.274	57.4664	7.19584	1.63628
154.605	58.1638	6.7544	1.7483
154.936	58.5463	6.3409	1.8801
155.266	58.6091	5.95361	2.03389
155.597	58.3552	5.59093	2.21211
155.928	57.7958	5.25134	2.4175
156.259	56.9495	4.93343	2.65311
156.589	55.8412	4.63585	2.92231
156.92	54.5007	4.35736	3.22883
157.251	52.961	4.09678	3.57673
157.581	51.2569	3.85303	3.97046
157.912	49.4229	3.62507	4.41483
158.243	47.4925	3.41196	4.91504
158.573	45.497	3.2128	5.47661
158.904	43.4646	3.02677	6.10539
159.235	41.42	2.85311	6.80751
159.565	39.3848	2.69109	7.58929
159.896	37.3767	2.54008	8.45717
160.227	35.4104	2.39946	9.41758
160.557	33.4972	2.26868	10.4768
160.888	31.6461	2.14725	11.6408
161.219	29.8635	2.03471	12.915
161.55	28.1536	1.93065	14.304
161.88	26.5193	1.83473	15.8115
162.211	24.9619	1.74663	17.4396
162.542	23.4814	1.66609	19.1891
162.872	22.0771	1.59291	21.0587
163.203	20.7477	1.52692	23.0449
163.534	19.491	1.46802	25.1416
163.864	18.3048	1.41615	27.3401
164.21	17.1363	1.36942	29.7363
164.556	16.0388	1.33047	32.214
164.921	14.9537	1.29797	34.8947
165.286	13.9399	1.2746	37.6142
165.652	12.9934	1.26075	40.3393
166.017	12.1103	1.25695	43.0326
166.382	11.2868	1.26387	45.6533
166.747	10.5192	1.28232	48.1578
167.112	9.80404	1.31329	50.5007
167.477	9.13785	1.35797	52.6361
167.842	8.5175	1.41774	54.5193
168.208	7.93998	1.49423	56.1084
168.573	7.40244	1.58933	57.3664
168.901	6.9515	1.69239	58.1896
169.229	6.52885	1.81402	58.7065
169.557	6.13276	1.95623	58.9089
169.885	5.76162	2.1213	58.7963
170.213	5.41389	2.31176	58.3762
170.541	5.08817	2.53045	57.6634
170.868	4.78308	2.78049	56.6795
171.196	4.49739	3.06534	55.4516
171.524	4.2299	3.38881	54.0108
171.852	3.97951	3.75504	52.3903
172.18	3.74518	4.16856	50.6242
172.508	3.52595	4.63421	48.7462
172.836	3.32092	5.15724	46.788
173.164	3.12924	5.74318	44.7788
173.492	2.95014	6.39786	42.7449
173.82	2.78289	7.12737	40.7091
174.148	2.62682	7.93795	38.6907
174.476	2.48131	8.83589	36.7058
174.804	2.3458	9.82745	34.7674
175.132	2.21976	10.9187	32.8855
175.46	2.10274	12.1152	31.0677
175.788	1.9943	13.422	29.3197
176.116	1.89406	14.8434	27.6448
176.444	1.8017	16.3824	26.0453
176.772	1.71693	18.0407	24.5218
177.1	1.63951	19.8185	23.0743
177.428	1.56926	21.7137	21.7016
177.756	1.50603	23.7222	20.4023
178.084	1.44974	25.8372	19.1741
178.424	1.39859	28.136	17.9717
178.765	1.3549	30.5258	16.8404
179.123	1.31711	33.1173	15.7243
179.481	1.28788	35.7659	14.6796
179.86	1.26658	38.6011	13.647
180.239	1.25569	41.4296	12.6857
180.618	1.25585	44.2082	11.7914
180.997	1.26786	46.89	10.9599
181.376	1.29272	49.425	10.187
181.755	1.33162	51.7621	9.46898
182.091	1.37891	53.6247	8.87619
182.427	1.43948	55.2583	8.32105
182.762	1.51467	56.6316	7.80127
183.098	1.606	57.7175	7.31469
183.433	1.71521	58.4944	6.85926
183.769	1.84427	58.9474	6.43305
184.104	1.99542	59.0697	6.03424
184.44	2.17115	58.8631	5.66113
184.775	2.37427	58.3376	5.31211
185.111	2.60789	57.5117	4.98567
185.446	2.87549	56.4106	4.6804
185.782	3.18088	55.065	4.39498
186.118	3.52829	53.5092	4.12818
186.453	3.92229	51.7796	3.87884
186.789	4.36789	49.9127	3.64588
187.124	4.87047	47.9438	3.4283
187.46	5.43577	45.9058	3.22516
187.795	6.0699	43.8285	3.03559
188.131	6.77925	41.7383	2.85878
188.466	7.57043	39.6577	2.694
188.802	8.45017	37.6054	2.54055
189.137	9.42523	35.5967	2.39781
189.473	10.5022	33.6436	2.26519
189.809	11.6873	31.7552	2.14217
190.144	12.9861	29.9383	2.02829
190.48	14.4036	28.1972	1.92311
190.815	15.9435	26.5346	1.82628
191.151	17.6081	24.9519	1.73747
191.486	19.3979	23.4489	1.6564
191.822	21.3115	22.0248	1.58287
192.157	23.3449	20.678	1.51672
192.493	25.4917	19.4064	1.45783
192.829	27.7422	18.2073	1.40615
193.176	30.1659	17.0403	1.3603
193.523	32.6695	15.9446	1.32226
193.89	35.3787	14.8602	1.29074
194.257	38.1233	13.8476	1.26845
194.623	40.8688	12.9026	1.25579
194.99	43.5768	12.0213	1.25333
195.357	46.2054	11.1999	1.26174
195.724	48.7101	10.4345	1.28189
196.091	51.0445	9.72165	1.31479
196.458	53.1623	9.05794	1.36167
196.825	55.0182	8.44016	1.42397
197.192	56.5702	7.86525	1.50338
197.522	57.6766	7.38229	1.59103
197.852	58.4861	6.92976	1.69574
198.182	58.9836	6.5058	1.81933
198.512	59.1613	6.10866	1.9639
198.842	59.0193	5.73669	2.13176
199.172	58.5658	5.38835	2.32553
199.502	57.8168	5.06218	2.54812
199.832	56.7948	4.75683	2.80274
200.162	55.5281	4.471	3.09295
200.492	54.0486	4.20351	3.42266
200.823	52.3907	3.95323	3.79614
201.153	50.5892	3.71911	4.21803
201.483	48.6783	3.50017	4.69334
201.813	46.6902	3.29551	5.22742
202.143	44.6543	3.10428	5.82599
202.473	42.5971	2.92568	6.49503
202.803	40.5412	2.75898	7.24076
203.133	38.506	2.60351	8.06957
203.463	36.5073	2.45865	8.98789
203.793	34.5579	2.32382	10.0021
204.123	32.6677	2.19851	11.1183
204.453	30.8439	2.08224	12.3421
204.783	29.0918	1.97459	13.6786
205.114	27.4148	1.87518	15.1319
205.444	25.8146	1.78369	16.705
205.774	24.2918	1.69982	18.3992
206.104	22.8461	1.62335	20.2144
206.434	21.4763	1.55409	22.1481
206.764	20.1805	1.49192	24.1955
207.094	18.9566	1.43674	26.3493
207.436	17.761	1.3869	28.6835
207.778	16.6367	1.3446	31.1064
208.139	15.5265	1.30832	33.733
208.499	14.488	1.28073	36.4119
208.876	13.4726	1.26151	39.2421
209.254	12.5273	1.2527	42.0577
209.631	11.6476	1.25496	44.8152
210.009	10.8294	1.26911	47.4676
210.386	10.0689	1.29617	49.9653
210.764	9.36209	1.33736	52.2576
211.099	8.77598	1.387	54.0824
211.435	8.22713	1.45014	55.6717
211.77	7.71326	1.52815	56.9948
212.106	7.23224	1.62259	58.0254
212.442	6.78203	1.73524	58.7431
